Datasheet,Part Number,Designator,Footprint,LCSC Part
https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf,CL05B104KO5NNNC,"C10, C11, C12, C13, C14, C15, C16, C28, C29, C30, C36, C37, C38, C39, C40, C44, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C59, C60, C62, C63, C70, C71",0402,C1525
https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf,CL05A475MP5NRNC,"C2, C8, C17",0402,C23733
https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf,CL10A106KP8NNNC,"C20, C72",0603,C19702
https://datasheet.lcsc.com/szlcsc/AVX-TAJB107K006RNJ_C16133.pdf,TAJB107K006RNJ,"C22, C23, C66, C67, C68, C69",CASE-B_3528,C16133
https://datasheet.lcsc.com/lcsc/2105211807_Honor-Elec-RVT1A331M0810_C113284.pdf,RVT1A331M0810,C24,CAP-SMD,C113284
https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG6R8C500NT_C1576.pdf,0402CG6R8C500NT,C25,0402,C1576
https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf,CL05A105KA5NQNC,"C3, C4, C5, C6, C7, C18, C19",0402,C52923
https://datasheet.lcsc.com/lcsc/1810221121_Samsung-Electro-Mechanics-CL31A476MPHNNNE_C96123.pdf,CL31A476MPHNNNE,"C32, C33",1206,C96123
https://datasheet.lcsc.com/lcsc/1809291524_FH-Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf,0402B102K500NT,C41,0402,C1523
https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603B103K500NT_C57112.pdf,0603B103K500NT,"C45, C61",0603,C57112
https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG150J500NT_C1548.pdf,0402CG150J500NT,"C57, C58, C64, C65",0402,C1548
https://datasheet.lcsc.com/lcsc/1811141731_FH-Guangdong-Fenghua-Advanced-Tech-0402CG330J500NT_C1562.pdf,0402CG330J500NT,"C73, C74",0402,C1562
https://datasheet.lcsc.com/lcsc/1810271109_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630.pdf,CL10A225KO8NNNC,C9,0603,C23630
